Sample,Value
0,924
1,924
2,924
3,924
4,924
5,924
6,933
7,924
8,933
9,933
10,933
11,933
12,957
13,957
14,957
15,957
16,957
17,957
18,927
19,927
20,927
21,927
22,927
23,927
24,938
25,938
26,938
27,938
28,940
29,938
30,940
31,940
32,940
33,940
34,940
35,940
36,928
37,928
38,928
39,928
40,930
41,928
42,930
43,930
44,930
45,930
46,948
47,948
48,948
49,948
50,948
51,948
52,940
53,948
54,940
55,940
56,940
57,940
58,948
59,948
60,948
61,948
62,948
63,948
64,948
65,948
66,948
67,948
68,948
69,948
70,936
71,936
72,936
73,936
74,945
75,936
76,945
77,945
78,945
79,945
80,934
81,945
82,934
83,934
84,934
85,934
86,940
87,934
88,940
89,940
90,940
91,940
92,956
93,956
94,956
95,956
96,956
97,956
98,940
99,956
100,940
101,940
102,940
103,940
104,958
105,958
106,958
107,958
108,956
109,958
110,956
111,956
112,956
113,956
114,956
115,956
116,943
117,943
118,943
119,943
120,947
121,943
122,947
123,947
124,947
125,947
126,964
127,964
128,964
129,964
130,964
131,964
132,961
133,964
134,961
135,961
136,961
137,961
138,966
139,966
140,966
141,966
142,966
143,966
144,969
145,969
146,969
147,969
148,969
149,969
150,964
151,964
152,964
153,964
154,963
155,964
156,963
157,963
158,963
159,963
160,963
161,963
162,966
163,966
164,966
165,966
166,960
167,966
168,960
169,960
170,960
171,960
172,977
173,977
174,977
175,977
176,977
177,977
178,962
179,977
180,962
181,962
182,962
183,962
184,972
185,972
186,972
187,972
188,977
189,972
190,977
191,977
192,977
193,977
194,977
195,977
196,958
197,958
198,958
199,958
200,964
201,958
202,964
203,964
204,964
205,964
206,976
207,964
208,976
209,976
210,976
211,976
212,972
213,976
214,972
215,972
216,972
217,972
218,974
219,974
220,974
221,974
222,974
223,974
224,984
225,974
226,984
227,984
228,984
229,984
230,978
231,978
232,978
233,978
234,972
235,978
236,972
237,972
238,972
239,972
240,972
241,972
242,991
243,991
244,991
245,991
246,986
247,991
248,986
249,986
250,986
251,986
252,984
253,984
254,984
255,984
256,984
257,984
258,985
259,984
260,985
261,985
262,985
263,985
264,987
265,987
266,987
267,987
268,987
269,987
270,993
271,993
272,993
273,993
274,993
275,993
276,975
277,975
278,975
279,975
280,979
281,975
282,979
283,979
284,979
285,979
286,979
287,979
288,998
289,998
290,998
291,998
292,993
293,998
294,993
295,993
296,993
297,993
298,988
299,988
300,988
301,988
302,988
303,988
304,1004
305,988
306,1004
307,1004
308,1004
309,1004
310,988
311,988
312,988
313,988
314,984
315,988
316,984
317,984
318,984
319,984
320,984
321,984
322,996
323,996
324,996
325,996
326,995
327,996
328,995
329,995
330,995
331,995
332,1009
333,995
334,1009
335,1009
336,1009
337,1009
338,1018
339,1009
340,1018
341,1018
342,1018
343,1018
344,995
345,995
346,995
347,995
348,995
349,995
350,1005
351,995
352,1005
353,1005
354,1005
355,1005
356,1008
357,1008
358,1008
359,1008
360,1006
361,1008
362,1006
363,1006
364,1006
365,1006
366,1006
367,1006
368,1018
369,1018
370,1018
371,1018
372,1008
373,1018
374,1008
375,1008
376,1008
377,1008
378,1006
379,1006
380,1006
381,1006
382,1006
383,1006
384,1008
385,1006
386,1008
387,1008
388,1008
389,1008
390,1012
391,1012
392,1012
393,1012
394,1012
395,1012
396,1008
397,1008
398,1008
399,1008
400,1008
401,1008
402,1020
403,1020
404,1020
405,1020
406,1011
407,1020
408,1011
409,1011
410,1011
411,1011
412,1011
413,1011
414,1019
415,1019
416,1019
417,1019
418,1023
419,1019
420,1023
421,1023
422,1023
423,1023
424,1012
425,1012
426,1012
427,1012
428,1012
429,1012
430,1012
431,1012
432,1012
433,1012
434,1012
435,1012
436,1023
437,1023
438,1023
439,1023
440,1023
441,1023
442,1023
443,1023
444,1023
445,1023
446,1023
447,1023
448,1023
449,1023
450,1023
451,1023
452,1023
453,1023
454,1023
455,1023
456,1023
457,1023
458,1023
459,1023
460,1023
461,1023
462,1023
463,1023
464,1021
465,1023
466,1021
467,1021
468,1021
469,1021
470,1023
471,1023
472,1023
473,1023
474,1023
475,1023
476,1023
477,1023
478,1023
479,1023
480,1023
481,1023
482,1023
483,1023
484,1023
485,1023
486,1023
487,1023
488,1023
489,1023
490,1023
491,1023
492,1023
493,1023
494,1020
495,1020
496,1020
497,1020
498,982
499,1020
500,982
501,982
502,982
503,982
504,872
505,872
506,872
507,872
508,872
509,872
510,669
511,872
512,669
513,669
514,669
515,669
516,441
517,441
518,441
519,441
520,441
521,441
522,220
523,220
524,220
525,220
526,220
527,220
528,69
529,69
530,69
531,69
532,21
533,69
534,21
535,21
536,21
537,21
538,21
539,21
540,4
541,4
542,4
543,4
544,0
545,4
546,0
547,0
548,0
549,0
550,10
551,10
552,10
553,10
554,10
555,10
556,7
557,10
558,7
559,7
560,7
561,7
562,4
563,4
564,4
565,4
566,9
567,4
568,9
569,9
570,9
571,9
572,9
573,9
574,5
575,5
576,5
577,5
578,4
579,5
580,4
581,4
582,4
583,4
584,10
585,4
586,10
587,10
588,10
589,10
590,9
591,10
592,9
593,9
594,9
595,9
596,15
597,15
598,15
599,15
600,15
601,15
602,16
603,15
604,16
605,16
606,16
607,16
608,7
609,7
610,7
611,7
612,10
613,7
614,10
615,10
616,10
617,10
618,10
619,10
620,13
621,13
622,13
623,13
624,11
625,13
626,11
627,11
628,11
629,11
630,15
631,15
632,15
633,15
634,15
635,15
636,19
637,15
638,19
639,19
640,19
641,19
642,12
643,12
644,12
645,12
646,12
647,12
648,16
649,16
650,16
651,16
652,16
653,16
654,20
655,20
656,20
657,20
658,19
659,20
660,19
661,19
662,19
663,19
664,19
665,19
666,23
667,23
668,23
669,23
670,22
671,23
672,22
673,22
674,22
675,22
676,14
677,14
678,14
679,14
680,14
681,14
682,6
683,14
684,6
685,6
686,6
687,6
688,17
689,17
690,17
691,17
692,20
693,17
694,20
695,20
696,20
697,20
698,20
699,20
700,25
701,25
702,25
703,25
704,23
705,25
706,23
707,23
708,23
709,23
710,22
711,23
712,22
713,22
714,22
715,22
716,22
717,22
718,22
719,22
720,22
721,22
722,31
723,31
724,31
725,31
726,31
727,31
728,24
729,31
730,24
731,24
732,24
733,24
734,28
735,28
736,28
737,28
738,29
739,28
740,29
741,29
742,29
743,29
744,29
745,29
746,32
747,32
748,32
749,32
750,30
751,32
752,30
753,30
754,30
755,30
756,27
757,27
758,27
759,27
760,27
761,27
762,23
763,27
764,23
765,23
766,23
767,23
768,36
769,36
770,36
771,36
772,36
773,36
774,31
775,31
776,31
777,31
778,31
779,31
780,30
781,30
782,30
783,30
784,33
785,30
786,33
787,33
788,33
789,33
790,33
791,33
792,29
793,29
794,29
795,29
796,31
797,29
798,31
799,31
800,31
801,31
802,31
803,31
804,31
805,31
806,31
807,31
808,33
809,31
810,33
811,33
812,33
813,33
814,38
815,38
816,38
817,38
818,39
819,38
820,39
821,39
822,39
823,39
824,39
825,39
826,29
827,29
828,29
829,29
830,38
831,29
832,38
833,38
834,38
835,38
836,39
837,38
838,39
839,39
840,39
841,39
842,35
843,39
844,35
845,35
846,35
847,35
848,37
849,37
850,37
851,37
852,37
853,37
854,40
855,37
856,40
857,40
858,40
859,40
860,43
861,43
862,43
863,43
864,44
865,43
866,44
867,44
868,44
869,44
870,44
871,44
872,40
873,40
874,40
875,40
876,37
877,40
878,37
879,37
880,37
881,37
882,48
883,48
884,48
885,48
886,48
887,48
888,44
889,48
890,44
891,44
892,44
893,44
894,42
895,42
896,42
897,42
898,42
899,42
900,46
901,46
902,46
903,46
904,46
905,46
906,43
907,43
908,43
909,43
910,37
911,43
912,37
913,37
914,37
915,37
916,37
917,37
918,48
919,48
920,48
921,48
922,48
923,48
924,48
925,48
926,48
927,48
928,47
929,47
930,47
931,47
932,47
933,47
934,48
935,47
936,48
937,48
938,48
939,48
940,43
941,43
942,43
943,43
944,48
945,43
946,48
947,48
948,48
949,48
950,48
951,48
952,45
953,45
954,45
955,45
956,46
957,45
958,46
959,46
960,46
961,46
962,52
963,46
964,52
965,52
966,52
967,52
968,55
969,52
970,55
971,55
972,55
973,55
974,52
975,52
976,52
977,52
978,52
979,52
980,56
981,52
982,56
983,56
984,56
985,56
986,50
987,50
988,50
989,50
990,52
991,50
992,52
993,52
994,52
995,52
996,52
997,52
998,61
999,61
1000,61
1001,61
1002,60
1003,61
1004,60
1005,60
1006,60
1007,60
1008,54
1009,54
1010,54
1011,54
1012,54
1013,54
1014,60
1015,54
1016,60
1017,60
1018,60
1019,60
1020,56
1021,56
1022,56
1023,56
1024,56
1025,56
1026,52
1027,52
1028,52
1029,52
1030,52
1031,52
1032,59
1033,59
1034,59
1035,59
1036,56
1037,59
1038,56
1039,56
1040,56
1041,56
1042,56
1043,56
1044,61
1045,61
1046,61
1047,61
1048,62
1049,61
1050,62
1051,62
1052,62
1053,62
1054,55
1055,55
1056,55
1057,55
1058,55
1059,55
1060,56
1061,55
1062,56
1063,56
1064,56
1065,56
1066,65
1067,65
1068,65
1069,65
1070,61
1071,65
1072,61
1073,61
1074,61
1075,61
1076,61
